	var1	var2	var3	var4	var5	var6	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16	var17	var18	var19	var20	var21	var22	var23	var24	var25	var26	var27	var28	var29	var30	var31	var32	var33
m23	38	525.4	0.05	7.6	1.87	33000	10	77	5.1	11	19	32	0.03	0.2	171.4	3.2	11.3	3.67	7.57	7.23	40	108	11	97	4.39	20.5	7.21	22	6	61		145	21.7
m24	45	168.5	0.61	9.3	1.59	3300	21	220	30	58	23	41	0.03	0.2	456.7	4.3	20.4	2	2.2	7.5	67	290	24	266	0.65	29	3.32	4	12	48	30.1	8	41.8
m25	70	221.5	0.24	19.3	11.84	7900	39	120	8.2	21	48	64	0.16	0.2	2089.3	3.9	216.5	7.79	7.47	6.99	130	170	35	135	6.37	26.7	6.68	29	5	52	62.6		13
m26	65	119.2	0.05	15.4	0.4	7900	23	103	14	29	35	70	0.03	0.2	82.8	4.7	5.2	0.37	7.54	7.6	52	124	20	104	0.65	20.4	11.7	18	7	64	94.8	176	5.4
m27	68	203.9	0.05	14.9	1.65	0.09	4	98	5.6	12	37	55	0.03	0.2	563	4.2	43.9	0.37	7.65	7.43	53	110	2	108	7.85	20.4	1.08	22	5	66		169	7.2
m28	96	43.5	0.05	24	0.4	2200	43	344	11	26	60	81	0.03	0.2	1961.1	5	43.3	6	4.08	7.6	167	328	22	306	0.65	23.2	8.5	24	9	50	46.7	94	28.6
m29	55	300.6	0.05	14.5	6.92	70000	28	190	16	44	36	52	0.32	0.2	525.6	3.9	132.3	3.11	3.85	7	147	376	58	318	18.47	19.5	10.9	9	10	51	50.5		11.8
m30	56	332.8	0.05	14.2	7.25	240000	9	204	26	49	37	56	0.31	0.2	708.9	4.5	100.3	7.14	4.36	7.18	102	194	6	188	15.7	18.6	1.81	14	10	51	58.6	134	12
m31	54	37.1	0.05	15.4	5.22	130000	9	300	15	30	39	57	0.03	0.2	47.4	4.4	3.3	17.49	6.81	6.97	100	140	15	125	39.61	19.9	6.5	12	8	45		40	15
m32	60	239	0.51	14.3	5.98	240000	34	205	20	50	36	55	0.03	0.2	464.5	4.6	84.2	4.12	4.02	7.18	106	366	22	344	0.65	18.8	24.2	9	11	45	45	11	18.7
m33	55	342.7	0.05	12.9	3.32	490	9	120	7.8	13	32	50	0.17	0.2	200.8	4.4	18	3.47	7.51	7.6	65	158	46	112	5.7	20	4.2	56	6	70	96.1		11.4
m34	49	568.8	0.05	11.5	3.63	940	10	130	9.4	17	29	45	0.25	0.2	366.4	4.9	29.4	3.21	7.65	7.5	64	58	6	52	5.68	18.4	4.8	45	7	69	96.2	204	8.8
m35	50	246.5	0.05	10.9	3.02	3300	6	126	2.7	9	27	46	0.03	0.2	202.9	4.6	13.3	9.98	7.48	7.34	63	172	16	156	9.99	19.7	4.06	23	4	66		145	6.8
m36	51	127.4	0.67	11	3.85	1700	11	122	2.7	6	28	49	0.03	0.2	133.4	5.1	7.9	3.98	5.01	7.69	60	382	24	358	0.65	18.8	3.53	46	6	62	55.8	121	26.8
m37	60	114.1	0.05	13.7	2.13	2400	4	149	1.6	4	34	69	0.18	0.2	52.9	8.3	4.3	4.44	7.54	7.7	74	220	42	178	4.37	22.1	1.36	61	4	71	98.4		15
m38	65	178.5	0.05	12.7	2.66	33000	6	144	3.8	9	29	67	0.25	0.2	52.8	7.1	4.5	4.77	7.78	7.65	75	158	8	150	4.44	20.5	3.35	55	5	67	97.7	107	6.9
m39	57	496.2	0.05	10.7	2.08	7000	8	116	13	24	27	47	0.03	0.2	189.2	5	12.3	6.62	7.79	7.85	57	146	16	130	6.35	20.7	5.37	20	7	61		171	4.6
m40	70	171.4	0.55	13.3	2.74	790	6	151	3.1	7	33	60	0.03	0.2	69.6	6.4	5	5	5.76	7.67	74	298	18	280	0.65	20	2.17	50	7	61	62.4	127	22
